province_code,province_name,districts,communes,villages
KH01,បន្ទាយមានជ័យ,9,67,658
KH02,បាត់ដំបង,14,103,844
KH03,កំពង់ចាម,10,109,947
KH04,កំពង់ឆ្នាំង,8,71,569
KH05,កំពង់ស្ពឺ,9,88,1364
KH06,កំពង់ធំ,9,81,765
KH07,កំពត,9,93,491
KH08,កណ្ដាល,13,127,1010
KH09,កោះកុង,7,29,119
KH10,ក្រចេះ,7,48,327
KH11,មណ្ឌលគិរី,5,21,92
KH12,ភ្នំពេញ,14,105,953
KH13,ព្រះវិហារ,8,51,232
KH14,ព្រៃវែង,13,116,1168
KH15,ពោធិ៍សាត់,7,49,526
KH16,រតនគិរី,9,50,243
KH17,សៀមរាប,13,100,909
KH18,ព្រះសីហនុ,5,29,111
KH19,ស្ទឹងត្រែង,6,34,137
KH20,ស្វាយរៀង,8,80,690
KH21,តាកែវ,10,100,1121
KH22,ឧត្តរមានជ័យ,5,24,308
KH23,កែប,2,5,18
KH24,ប៉ៃលិន,2,8,92
KH25,ត្បូងឃ្មុំ,7,64,875
Total,25,209,1652,14569
